country,time,week,valence_score,gdpdev,gdplevel
argentina,2019-11-10,2019-W45,0.6874,-0.03499744987392808,101.3662850775061
argentina,2019-11-17,2019-W46,0.6677,-0.04466060536537133,100.4147257655446
argentina,2019-11-24,2019-W47,0.7087,-0.02890684508528506,102.0445874728358
argentina,2019-12-01,2019-W48,0.7357,-0.02589750305015083,102.3758324267918
argentina,2019-12-08,2019-W49,0.7554,-0.04238794198322018,100.7247667900964
argentina,2019-12-15,2019-W50,0.7554000000000001,-0.02661887984681003,102.3612271715988
argentina,2019-12-22,2019-W51,0.7554000000000001,-0.02220577410623819,102.8377586003958
argentina,2019-12-29,2019-W52,0.7554000000000001,-0.02847455233368661,102.2187669251877
argentina,2020-01-05,2020-W01,0.7749,-0.04969153392827103,100.1075923227005
argentina,2020-01-12,2020-W02,0.7438,-0.04486934622388999,100.6147834779761
argentina,2020-01-19,2020-W03,0.7408,-0.04051658158682539,101.0770852434644
argentina,2020-01-26,2020-W04,0.7408,-0.04250584920321738,100.911248262267
argentina,2020-02-02,2020-W05,0.7408,-0.03431004898662858,101.7652491686935
argentina,2020-02-09,2020-W06,0.6940999999999999,-0.05290751321001091,99.91328894212003
argentina,2020-02-16,2020-W07,0.6940999999999999,-0.03790966402220015,101.4582892367995
argentina,2020-02-23,2020-W08,0.6940999999999999,-0.03812623715322133,101.4598018157002
argentina,2020-03-01,2020-W09,0.6940999999999999,-0.05884154847266534,99.40265751756314
argentina,2020-03-08,2020-W10,0.6767000000000001,-0.06518983329512539,98.80792224193803
argentina,2020-03-15,2020-W11,0.6940999999999999,-0.1994619976946909,86.41291148908101
argentina,2020-03-22,2020-W12,0.6940999999999999,-0.3241876260419469,76.29771240312499
argentina,2020-03-29,2020-W13,0.7097,-0.2960168218453796,78.50489523530268
argentina,2020-04-05,2020-W14,0.7097,-0.3044502607633246,77.8636348100456
argentina,2020-04-12,2020-W15,0.7181,-0.3009723936359343,78.15299450548703
argentina,2020-04-19,2020-W16,0.7181,-0.2741232684540542,80.30763688297611
argentina,2020-04-26,2020-W17,0.7021,-0.2502857832886664,82.26400818250178
argentina,2020-05-03,2020-W18,0.7591999999999999,-0.2305486893465709,83.92321408416171
argentina,2020-05-10,2020-W19,0.7592000000000001,-0.2209471719104188,84.76231134138776
argentina,2020-05-17,2020-W20,0.7097,-0.2200556898957797,84.85754978073105
argentina,2020-05-24,2020-W21,0.7097,-0.2367079397263369,83.47550180587406
argentina,2020-05-31,2020-W22,0.7238999999999999,-0.2237105270932146,84.59691768780547
argentina,2020-06-07,2020-W23,0.7354,-0.1865549064128393,87.81961964770825
argentina,2020-06-14,2020-W24,0.7353999999999999,-0.1993973195391411,86.71908638047829
argentina,2020-06-21,2020-W25,0.6859999999999998,-0.1955772591569824,87.08122334966984
argentina,2020-06-28,2020-W26,0.7141,-0.1960503941188683,87.06018240442309
argentina,2020-07-05,2020-W27,0.7141,-0.198919013545752,86.830895150863
argentina,2020-07-12,2020-W28,0.7141,-0.1855220719210153,88.03255215949366
argentina,2020-07-19,2020-W29,0.6494,-0.1577706286156116,90.53075087713069
argentina,2020-07-26,2020-W30,0.6544,-0.1448854457272225,91.72603427280448
argentina,2020-08-02,2020-W31,0.6331,-0.1484194910744031,91.4341848978129
argentina,2020-08-09,2020-W32,0.614,-0.1343084146238608,92.7550345229792
argentina,2020-08-16,2020-W33,0.6215999999999999,-0.1330137092856088,92.8967041063414
argentina,2020-08-23,2020-W34,0.6215999999999999,-0.1330283287438965,92.9276069346492
argentina,2020-08-30,2020-W35,0.6216,-0.1594246420244747,90.52770514819053
argentina,2020-09-06,2020-W36,0.6216,-0.1330066318600025,92.97265611542282
argentina,2020-09-13,2020-W37,0.6215999999999999,-0.1155686224429427,94.64098818927198
argentina,2020-09-20,2020-W38,0.5645,-0.1272872201573549,93.56005643046511
argentina,2020-09-27,2020-W39,0.6215999999999999,-0.1319651818679205,93.14496700920854
argentina,2020-10-04,2020-W40,0.6215999999999999,-0.1291140210925049,93.4433572055203
argentina,2020-10-11,2020-W41,0.6041,-0.1386073032367228,92.5818989358306
argentina,2020-10-18,2020-W42,0.598,-0.1122101781925776,95.0803433005566
argentina,2020-10-25,2020-W43,0.5980000000000001,-0.1204409526054026,94.33371933191691
argentina,2020-11-01,2020-W44,0.5887,-0.1027876321566027,96.03603663793282
argentina,2020-11-08,2020-W45,0.6381,-0.113596247033785,95.02560382155525
argentina,2020-11-15,2020-W46,0.5887,-0.1069090508223739,95.69641026981085
argentina,2020-11-22,2020-W47,0.5887,-0.1084821546992311,95.56810790090469
argentina,2020-11-29,2020-W48,0.6260999999999999,-0.0914633025531408,97.23099104748341
argentina,2020-12-06,2020-W49,0.569,-0.1063792319782189,95.82472977350882
argentina,2020-12-13,2020-W50,0.5690000000000001,-0.1010877798556181,96.35542754128666
argentina,2020-12-20,2020-W51,0.598,-0.1026681497967582,96.22554242931461
argentina,2020-12-27,2020-W52,0.6407,-0.1057698849401203,95.96085263092414
argentina,2021-01-03,2021-W01,0.6216,-0.04843014455523516,101.6475609292231
argentina,2021-01-10,2021-W02,0.6216,-0.07511852936828163,98.99354456370443
argentina,2021-01-17,2021-W03,0.6216,-0.09457172591366036,97.12013012409753
argentina,2021-01-24,2021-W04,0.6626,-0.08790622124551317,97.79228155374696
argentina,2021-01-31,2021-W05,0.6215999999999999,-0.1087636330355098,95.7958843137499
argentina,2021-02-07,2021-W06,0.6215999999999999,-0.08777968455690027,97.86127292610448
argentina,2021-02-14,2021-W07,0.6265999999999999,-0.086667787698992,97.99282597556791
argentina,2021-02-21,2021-W08,0.6215999999999999,-0.08673558003704052,98.00886764237092
argentina,2021-02-28,2021-W09,0.6215999999999999,-0.09637073660951917,97.10278204770036
argentina,2021-03-07,2021-W10,0.6215999999999999,-0.08283417359635,98.44894320232646
argentina,2021-03-14,2021-W11,0.5980000000000001,-0.08940843054783382,97.8264798121031
argentina,2021-03-21,2021-W12,0.5980000000000001,-0.07821962300644608,98.9615434592737
argentina,2021-03-28,2021-W13,0.5896,-0.06386688469432962,100.4153962370769
argentina,2021-04-04,2021-W14,0.5858999999999999,-0.05217480993029208,101.6198713975093
argentina,2021-04-11,2021-W15,0.6353,-0.07828975486550986,99.0348073572334
argentina,2021-04-18,2021-W16,0.6029,-0.0807474895283919,98.81457603068509
argentina,2021-04-25,2021-W17,0.598,-0.1011185242016255,96.84440043265288
argentina,2021-05-02,2021-W18,0.598,-0.09437029560065854,97.53399871394741
argentina,2021-05-09,2021-W19,0.598,-0.1058152346304867,96.4464145377862
australia,2019-11-10,2019-W45,0.5980000000000001,0.0002898531516979873,99.63726281192801
australia,2019-11-17,2019-W46,0.6216,0.005600140786408421,100.2089605029277
australia,2019-11-24,2019-W47,0.6215999999999999,0.008887614661976897,100.600953991272
australia,2019-12-01,2019-W48,0.6178999999999999,0.00310671075639153,100.0621948024703
australia,2019-12-08,2019-W49,0.6215999999999999,0.00831357416285013,100.6259229673797
australia,2019-12-15,2019-W50,0.5721999999999999,-0.003692100919319581,99.48639378070978
australia,2019-12-22,2019-W51,0.5721999999999999,0.001036857497823666,99.99907653167035
australia,2019-12-29,2019-W52,0.6215999999999999,-0.009364028849686755,99.00508068499344
australia,2020-01-05,2020-W01,0.6215999999999999,0.002033524063402202,100.2017223587009
australia,2020-01-12,2020-W02,0.5865,0.0153186546689429,101.5835499678901
australia,2020-01-19,2020-W03,0.5865,0.01278498932475748,101.3681613154891
australia,2020-01-26,2020-W04,0.598,-0.01517181784169447,98.63428306899269
australia,2020-02-02,2020-W05,0.598,0.009991365283142055,101.1893168666624
