,valence
0,0.864
1,0.294
2,0.704
3,0.667
4,0.293
5,0.94
6,0.962
7,0.593
8,0.934
9,0.623
10,0.667
11,0.704
12,0.974
13,0.864
14,0.293
15,0.94
16,0.962
17,0.788
18,0.623
19,0.593
20,0.667
21,0.704
22,0.507
23,0.864
24,0.293
25,0.94
26,0.788
27,0.962
28,0.623
29,0.749
30,0.667
31,0.788
32,0.507
33,0.704
34,0.864
35,0.94
36,0.293
37,0.962
38,0.765
39,0.864
40,0.667
41,0.294
42,0.788
43,0.704
44,0.864
45,0.293
46,0.343
47,0.749
48,0.574
49,0.94
50,0.667
51,0.294
52,0.788
53,0.704
54,0.293
55,0.864
56,0.343
57,0.574
58,0.513
59,0.94
60,0.574
61,0.788
62,0.294
63,0.704
64,0.667
65,0.293
66,0.343
67,0.864
68,0.94
69,0.749
70,0.574
71,0.788
72,0.704
73,0.294
74,0.667
75,0.343
76,0.293
77,0.864
78,0.94
79,0.513
80,0.574
81,0.704
82,0.667
83,0.788
84,0.343
85,0.294
86,0.293
87,0.864
88,0.94
89,0.749
90,0.574
91,0.667
92,0.704
93,0.294
94,0.343
95,0.788
96,0.293
97,0.513
98,0.94
99,0.864
100,0.574
101,0.343
102,0.704
103,0.706
104,0.667
105,0.513
106,0.788
107,0.676
108,0.643
109,0.863
110,0.574
111,0.343
112,0.706
113,0.513
114,0.667
115,0.704
116,0.788
117,0.676
118,0.643
119,0.94
120,0.574
121,0.343
122,0.513
123,0.667
124,0.676
125,0.704
126,0.788
127,0.294
128,0.643
129,0.919
130,0.574
131,0.343
132,0.513
133,0.676
134,0.704
135,0.679
136,0.667
137,0.294
138,0.788
139,0.919
140,0.574
141,0.679
142,0.343
143,0.294
144,0.704
145,0.513
146,0.595
147,0.676
148,0.667
149,0.556
150,0.574
151,0.513
152,0.343
153,0.676
154,0.643
155,0.679
156,0.788
157,0.294
158,0.704
159,0.667
160,0.574
161,0.676
162,0.343
163,0.513
164,0.643
165,0.679
166,0.966
167,0.294
168,0.919
169,0.788
170,0.574
171,0.528
172,0.513
173,0.343
174,0.294
175,0.676
176,0.245
177,0.966
178,0.679
179,0.643
180,0.574
181,0.676
182,0.343
183,0.294
184,0.513
185,0.279
186,0.245
187,0.966
188,0.761
189,0.679
190,0.574
191,0.279
192,0.676
193,0.343
194,0.685
195,0.294
196,0.513
197,0.245
198,0.679
199,0.966
200,0.574
201,0.685
202,0.279
203,0.679
204,0.294
205,0.676
206,0.513
207,0.245
208,0.343
209,0.4
210,0.685
211,0.574
212,0.679
213,0.513
214,0.279
215,0.676
216,0.245
217,0.4
218,0.343
219,0.386
220,0.685
221,0.513
222,0.574
223,0.453
224,0.679
225,0.279
226,0.823
227,0.676
228,0.245
229,0.459
230,0.823
231,0.354
232,0.685
233,0.574
234,0.679
235,0.279
236,0.459
237,0.513
238,0.697
239,0.453
240,0.823
241,0.574
242,0.685
243,0.459
244,0.697
245,0.279
246,0.974
247,0.679
248,0.453
249,0.678
250,0.823
251,0.574
252,0.679
253,0.697
254,0.279
255,0.974
256,0.459
257,0.685
258,0.453
259,0.967
260,0.823
261,0.574
262,0.697
263,0.679
264,0.279
265,0.459
266,0.967
267,0.334
268,0.453
269,0.685
270,0.823
271,0.513
272,0.574
273,0.834
274,0.679
275,0.334
276,0.697
277,0.279
278,0.678
279,0.537
280,0.823
281,0.697
282,0.576
283,0.334
284,0.513
285,0.574
286,0.678
287,0.967
288,0.4
289,0.279
290,0.823
291,0.576
292,0.646
293,0.697
294,0.622
295,0.574
296,0.678
297,0.4
298,0.334
299,0.786
300,0.823
301,0.576
302,0.786
303,0.697
304,0.678
305,0.646
306,0.334
307,0.574
308,0.835
309,0.967
310,0.786
311,0.823
312,0.835
313,0.576
314,0.697
315,0.678
316,0.231
317,0.574
318,0.279
319,0.855
320,0.786
321,0.823
322,0.835
323,0.576
324,0.334
325,0.678
326,0.574
327,0.697
328,0.231
329,0.855
330,0.786
331,0.835
332,0.823
333,0.576
334,0.334
335,0.697
336,0.678
337,0.855
338,0.231
339,0.574
340,0.786
341,0.835
342,0.823
343,0.576
344,0.697
345,0.586
346,0.678
347,0.334
348,0.231
349,0.574
350,0.786
351,0.586
352,0.835
353,0.697
354,0.823
355,0.334
356,0.231
357,0.576
358,0.678
359,0.574
360,0.786
361,0.586
362,0.835
363,0.279
364,0.698
365,0.823
366,0.697
367,0.678
368,0.334
369,0.574
370,0.586
371,0.706
372,0.698
373,0.786
374,0.279
375,0.835
376,0.697
377,0.823
378,0.576
379,0.574
380,0.346
381,0.586
382,0.698
383,0.706
384,0.786
385,0.835
386,0.379
387,0.823
388,0.334
389,0.697
390,0.346
391,0.698
392,0.586
393,0.786
394,0.706
395,0.565
396,0.557
397,0.835
398,0.334
399,0.379
400,0.346
401,0.698
402,0.586
403,0.706
404,0.558
405,0.565
406,0.522
407,0.786
408,0.835
409,0.823
410,0.346
411,0.698
412,0.586
413,0.558
414,0.522
415,0.706
416,0.786
417,0.565
418,0.823
419,0.334
420,0.558
421,0.698
422,0.346
423,0.553
424,0.522
425,0.706
426,0.565
427,0.786
428,0.586
429,0.586
430,0.558
431,0.698
432,0.346
433,0.553
434,0.522
435,0.706
436,0.586
437,0.786
438,0.565
439,0.586
440,0.558
441,0.522
442,0.698
443,0.346
444,0.553
445,0.522
446,0.835
447,0.706
448,0.586
449,0.586
450,0.558
451,0.522
452,0.835
453,0.698
454,0.346
455,0.553
456,0.522
457,0.906
458,0.706
459,0.586
460,0.558
461,0.522
462,0.835
463,0.906
464,0.522
465,0.698
466,0.346
467,0.553
468,0.72
469,0.586
470,0.558
471,0.522
472,0.835
473,0.906
474,0.962
475,0.698
476,0.522
477,0.72
478,0.836
479,0.346
480,0.558
481,0.962
482,0.835
483,0.906
484,0.522
485,0.698
486,0.72
487,0.522
488,0.346
489,0.569
490,0.558
491,0.962
492,0.835
493,0.906
494,0.522
495,0.72
496,0.698
497,0.569
498,0.522
499,0.346
500,0.558
501,0.962
502,0.835
503,0.522
504,0.906
505,0.72
506,0.698
507,0.569
508,0.522
509,0.884
510,0.558
511,0.962
512,0.835
513,0.906
514,0.569
515,0.72
516,0.48
517,0.698
518,0.522
519,0.522
520,0.558
521,0.962
522,0.145
523,0.48
524,0.835
525,0.906
526,0.698
527,0.569
528,0.72
529,0.884
530,0.962
531,0.145
532,0.558
533,0.48
534,0.835
535,0.548
536,0.698
537,0.906
538,0.569
539,0.707
540,0.145
541,0.962
542,0.558
543,0.48
544,0.707
545,0.835
546,0.906
547,0.838
548,0.698
549,0.569
550,0.145
551,0.962
552,0.558
553,0.48
554,0.838
555,0.707
556,0.86
557,0.835
558,0.884
559,0.569
560,0.145
561,0.86
562,0.838
563,0.962
564,0.558
565,0.48
566,0.735
567,0.707
568,0.391
569,0.608
570,0.145
571,0.86
572,0.838
573,0.962
